Unix Timestamp,Year,Month,Day,Hour,Minute,Second,Distance (cm),Latitude,Longitude,Confidence
1701742852888,2023,12,4,16,20,52,388,19.7283343,-155.9893519,22
1701742853703,2023,12,4,16,20,53,422,19.7283342,-155.9893521,56
1701742854456,2023,12,4,16,20,54,490,19.7283339,-155.9893525,54
1701742855378,2023,12,4,16,20,55,576,19.7283337,-155.9893528,42
1701742856503,2023,12,4,16,20,56,637,19.7283336,-155.9893538,26
1701742857428,2023,12,4,16,20,57,1283,19.7283334,-155.9893544,52
1701742858247,2023,12,4,16,20,58,276,19.7283334,-155.9893549,57
1701742859166,2023,12,4,16,20,59,345,19.7283331,-155.9893557,18
1701742860087,2023,12,4,16,21,0,393,19.7283329,-155.9893564,1
1701742860845,2023,12,4,16,21,0,447,19.7283329,-155.989357,1
1701742861718,2023,12,4,16,21,1,528,19.7283327,-155.9893573,34
1701742862649,2023,12,4,16,21,2,571,19.7283326,-155.9893583,57
1701742863570,2023,12,4,16,21,3,677,19.7283327,-155.9893597,22
1701742864490,2023,12,4,16,21,4,758,19.728333,-155.9893605,35
1701742865411,2023,12,4,16,21,5,810,19.7283331,-155.9893612,1
1701742866539,2023,12,4,16,21,6,853,19.7283331,-155.9893619,38
1701742867358,2023,12,4,16,21,7,993,19.7283331,-155.9893624,39
1701742868137,2023,12,4,16,21,8,1195,19.7283331,-155.9893632,30
